127.0.0.1 - - [13/Mar/2023:22:22:19 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/ HTTP/1.1" 200 27689
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/js/shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/img/bootstrap-template.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/img/paypal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:20 +0700] "GET /PhanTrang/assets/user/img/slide/bootstrap-template.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/slide/bootstrap-ring.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/slide/bootstrappage_shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/slide/bootstrap-ecommerce-templates.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/i.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/g.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/maestro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/visa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/pp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/mc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/img/disc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:21 +0700] "GET /PhanTrang/assets/user/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:22 +0700] "GET /PhanTrang/san-pham/1 HTTP/1.1" 200 18007
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:22 +0700] "GET /PhanTrang/san-pham/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Mar/2023:22:22:22 +0700] "GET /PhanTrang/san-pham/assets/img/f.jpg HTTP/1.1" 404 682
